"","X1","X2","X3"
"1","Borno",NA,"32.53°C | 90.55°F"
"2","Sokoto",NA,"31.67°C | 89.01°F"
"3","Niger",NA,"31.39°C | 88.5°F"
"4","Yobe",NA,"31.29°C | 88.32°F"
"5","Kebbi",NA,"31.26°C | 88.27°F"
"6","Jigawa",NA,"31.23°C | 88.21°F"
"7","Katsina",NA,"30.89°C | 87.6°F"
"8","Adamawa",NA,"30.81°C | 87.46°F"
"9","Kano",NA,"30.75°C | 87.35°F"
"10","Gombe",NA,"30.54°C | 86.97°F"
"11","Taraba",NA,"30.32°C | 86.58°F"
"12","Zamfara",NA,"30.22°C | 86.4°F"
"13","Kogi",NA,"29.88°C | 85.78°F"
"14","Abuja Federal Capital Territory",NA,"29.77°C | 85.59°F"
"15","Kwara",NA,"29.54°C | 85.17°F"
"16","Nasarawa",NA,"29.39°C | 84.9°F"
"17","Benue",NA,"29.38°C | 84.88°F"
"18","Ebonyi",NA,"29.34°C | 84.81°F"
"19","Ogun",NA,"29.34°C | 84.81°F"
"20","Anambra",NA,"28.99°C | 84.18°F"
"21","Bauchi",NA,"28.97°C | 84.15°F"
"22","Imo",NA,"28.88°C | 83.98°F"
"23","Oyo",NA,"28.82°C | 83.88°F"
"24","Edo",NA,"28.78°C | 83.8°F"
"25","Abia",NA,"28.68°C | 83.62°F"
"26","Lagos",NA,"28.67°C | 83.61°F"
"27","Delta",NA,"28.64°C | 83.55°F"
"28","Bayelsa",NA,"28.64°C | 83.55°F"
"29","Cross River",NA,"28.5°C | 83.3°F"
"30","Akwa Ibom",NA,"28.47°C | 83.25°F"
"31","Kaduna",NA,"28.46°C | 83.23°F"
"32","Ondo",NA,"28.42°C | 83.16°F"
"33","Osun",NA,"28.35°C | 83.03°F"
"34","Enugu",NA,"28.27°C | 82.89°F"
"35","Ekiti",NA,"27.9°C | 82.22°F"
"36","Plateau",NA,"26.6°C | 79.88°F"
"37","Rivers",NA,"26.55°C | 79.79°F"
